,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmoonn,L_cmoonn,Lcmonno,an_oool
8,0.9999999991519396,1.0,1.0,0.9899999988912558,1.0000000122523407,-5.0,699.0,37.0,0.99,0.9899999940157245,3.2811500763524813e-09,0.20269680806109122
10,1.0000034891044504e-05,1.6036188439361005,0.00010000001110939973,0.6503620684567053,1.0,-3.057819313332994,699.0,37.0,0.9899999999999866,0.99,0.015738381732183893,0.5
11,0.9999925900164206,1.0000070475827019,0.9999999031848912,0.99,1.0,-4.999999998990372,699.0,37.0,0.99,0.99,0.09943340144273756,0.5
15,0.999999999950647,1.0,1.0,0.9899999993303621,1.0000000004715561,-5.0,699.0,37.0,0.9899999999817233,0.9899999995391106,9.516525067965228e-11,0.49999999990483474
22,0.19695647769582725,1.0440560618230839,0.9106384784609423,0.5745175792909091,2.5937844637320073,-1.2226014847656894,699.0,37.0,0.500000069522252,0.6304549907921548,0.31889481047186424,0.4999999992408691
29,0.8946201259243068,1.6485569629970727,0.9821255200106348,0.9828351246217741,1.3159872698544863,-4.155609809491153,699.0,37.0,0.5000066049529563,0.9767891032005712,0.689318846956107,0.4999999999999994
37,0.0014324238472611414,1.8940233224448781,0.004746967455293179,0.013081740959838233,1.0069662045369319,-3.5983544083518106,699.0,37.0,0.1657954310800109,0.9798850053874172,5.477624071582487e-05,0.0001907592492891585
38,0.5589427782014906,1.4149683513269664,0.23232554820152485,0.4444548943372329,2.1425555834021734,-3.7729020332855643,699.0,37.0,0.4769369081123213,0.7400627685386952,0.25707467062224226,0.47693612101153227
41,0.9999999999380957,1.0000000001023295,0.9999999999045867,0.9895634328076746,1.0000000086818752,-4.999999999999978,699.0,37.0,0.7571675102602504,0.9899999989882208,0.07805368298242427,0.4999999953112762
43,0.9999999999999979,1.0,1.0,0.9899999999999946,1.0000000000000115,-5.0,699.0,37.0,0.9899999999999992,0.9899999999999972,1.7710849941314676e-15,0.4999999999999982
44,0.2524254052177142,1.606114351295891,0.047301425708191056,0.7584877277001473,1.0000000000000886,-4.999999999988768,699.0,37.0,0.9698808438883639,0.9899999999999987,7.989882398563255e-14,0.04489782419982223
45,0.3702169720337931,1.188187819587178,0.6556817929294206,0.9899999997945608,1.0000000005915293,-4.99999950739261,699.0,37.0,0.5319793876928901,0.989999996787622,0.2971581963077979,0.3707025618761875
48,0.28621107528421935,1.6612130406704717,0.05128535792693982,0.25451239322606517,1.8347811625344426,-3.8310880888553904,699.0,37.0,0.6305196250577288,0.8805937918318554,0.11407330254095341,0.0596590732924521
50,0.006250611670438805,1.4245218852597135,0.00010012839301151621,0.9441407241955523,1.000289684462543,-4.999818633638284,699.0,37.0,0.7754534927143595,0.9899997970058114,3.7575321072472394e-08,0.43478340678542643
52,0.6900713066399456,1.2061368769728351,0.39103623463157,0.7753091736354903,1.000000070561528,-4.997984013322304,699.0,37.0,0.8378113647150273,0.9899992470156553,4.119592723569303e-09,0.4843429424643558
59,0.5348785618791775,1.9094751919262207,0.3305251630897134,0.3994012283070743,1.511075240635512,-1.1718950391813454,699.0,37.0,0.5000004252299736,0.982925429262347,0.6149338275165072,0.49999999397424155
62,0.7990067503835424,1.8507644745305674,1.0,0.99,1.0,-4.367774641376647,699.0,37.0,0.9115671965524569,0.99,0.08928553103890988,0.5
70,0.9999999999999973,1.7817935474734123,0.9999999999999972,0.9899999999999608,1.000000000000042,-4.999273351082453,699.0,37.0,0.9899999921847042,0.9899999971370752,1.5435834768240545e-09,0.3600685027568868
82,0.6834740415171536,1.9901920294481623,0.16852857931717322,0.6695934053179052,1.2971132031285106,-2.6980411878592405,699.0,37.0,0.5136683057510282,0.9048314443222022,0.8100138653774636,0.05059381032868662
87,0.5160460448418185,1.01263902214568,0.11297727539974868,0.7157279555490921,2.7168156414924627,-1.5079245468072364,699.0,37.0,0.5700175553608771,0.49813021460958534,0.1658460333836075,0.42357088460350895
97,0.1809164416947383,1.7897728784799583,0.48676529761967746,0.9840297955584284,1.0000000046724502,-3.6984736213927873,699.0,37.0,0.5004354023580587,0.9899726155629477,0.07334558119644036,0.4999999997161246
100,0.27306989490240713,1.9775173715569383,0.7459410437732469,0.9899999999998531,1.0000000000024396,-4.999999999755445,699.0,37.0,0.9899999999885251,0.9899999999991443,1.2090328736958923e-13,0.4999999999999587
