,index,Oldnew,Setsize,Probtype,Lag,FileCondi,RT
0,0,new,2,AN,0,ANpure,816.3439273552781
1,1,new,2,AN,0,MIX,746.8812785388128
2,2,new,2,AN,0,MIX2,896.76
3,3,new,2,CM,0,CMpure,766.1455897980871
4,4,new,2,CM,0,MIX,797.060737527115
5,5,new,2,CM,0,MIX2,866.1029082774049
6,6,new,2,VM,0,VMpure,815.3315844700944
7,7,new,4,AN,0,ANpure,837.0359147025814
8,8,new,4,AN,0,MIX,777.1508620689655
9,9,new,4,AN,0,MIX2,887.3986486486486
10,10,new,4,CM,0,CMpure,791.9916579770594
11,11,new,4,CM,0,MIX,859.0381861575179
12,12,new,4,CM,0,MIX2,909.243956043956
13,13,new,4,VM,0,VMpure,886.1322140608604
14,14,new,8,AN,0,ANpure,848.9551066217733
15,15,new,8,AN,0,MIX,807.8244444444445
16,16,new,8,AN,0,MIX2,937.8803921568627
17,17,new,8,CM,0,CMpure,820.6693961105425
18,18,new,8,CM,0,MIX,930.9870466321244
19,19,new,8,CM,0,MIX2,1012.1188118811881
20,20,new,8,VM,0,VMpure,949.0848708487085
21,21,old,2,AN,1,ANpure,715.6753507014027
22,22,old,2,AN,1,MIX,683.0746887966804
23,23,old,2,AN,1,MIX2,798.801652892562
24,24,old,2,AN,2,ANpure,768.0062630480166
25,25,old,2,AN,2,MIX,733.8481012658228
26,26,old,2,AN,2,MIX2,781.2543103448276
27,27,old,2,CM,1,CMpure,678.7654584221748
28,28,old,2,CM,1,MIX,738.3957446808511
29,29,old,2,CM,1,MIX2,802.8166666666667
30,30,old,2,CM,2,CMpure,727.9809725158563
31,31,old,2,CM,2,MIX,798.2260869565217
32,32,old,2,CM,2,MIX2,930.8403755868544
33,33,old,2,VM,1,VMpure,742.5752032520326
34,34,old,2,VM,2,VMpure,806.7957610789981
35,35,old,4,AN,1,ANpure,661.6609442060086
36,36,old,4,AN,1,MIX,664.2644628099174
37,37,old,4,AN,1,MIX2,767.4351851851852
38,38,old,4,AN,2,ANpure,765.2583333333333
39,39,old,4,AN,2,MIX,774.6120689655172
40,40,old,4,AN,2,MIX2,883.8474576271186
41,41,old,4,AN,3,ANpure,808.5421052631579
42,42,old,4,AN,3,MIX,843.1238938053098
43,43,old,4,AN,3,MIX2,896.2471910112359
44,44,old,4,AN,4,ANpure,856.24
45,45,old,4,AN,4,MIX,851.8736842105263
46,46,old,4,AN,4,MIX2,1006.9741379310345
47,47,old,4,CM,1,CMpure,665.1032863849765
48,48,old,4,CM,1,MIX,716.7118644067797
49,49,old,4,CM,1,MIX2,783.4814814814815
