,index,Oldnew,Setsize,Probtype,Lag,FileCondi,Error
0,0,new,2,AN,0,ANpure,0.06772486772486773
1,1,new,2,AN,0,MIX,0.02666666666666667
2,2,new,2,AN,0,MIX2,0.030612244897959183
3,3,new,2,CM,0,CMpure,0.030895983522142123
4,4,new,2,CM,0,MIX,0.03958333333333333
5,5,new,2,CM,0,MIX2,0.03455723542116631
6,6,new,2,VM,0,VMpure,0.04221105527638191
7,7,new,4,AN,0,ANpure,0.0972644376899696
8,8,new,4,AN,0,MIX,0.03734439834024896
9,9,new,4,AN,0,MIX2,0.04721030042918455
10,10,new,4,CM,0,CMpure,0.04671968190854871
11,11,new,4,CM,0,MIX,0.1160337552742616
12,12,new,4,CM,0,MIX2,0.11306042884990253
13,13,new,4,VM,0,VMpure,0.0854126679462572
14,14,new,8,AN,0,ANpure,0.11254980079681275
15,15,new,8,AN,0,MIX,0.05263157894736842
16,16,new,8,AN,0,MIX2,0.0449438202247191
17,17,new,8,CM,0,CMpure,0.1158371040723982
18,18,new,8,CM,0,MIX,0.19077568134171907
19,19,new,8,CM,0,MIX2,0.19681908548707752
20,20,new,8,VM,0,VMpure,0.2013752455795678
21,21,old,2,AN,1,ANpure,0.025390625
22,22,old,2,AN,1,MIX,0.0398406374501992
23,23,old,2,AN,1,MIX2,0.032
24,24,old,2,AN,2,ANpure,0.0496031746031746
25,25,old,2,AN,2,MIX,0.04819277108433735
26,26,old,2,AN,2,MIX2,0.056910569105691054
27,27,old,2,CM,1,CMpure,0.030991735537190084
28,28,old,2,CM,1,MIX,0.05622489959839357
29,29,old,2,CM,1,MIX2,0.03614457831325301
30,30,old,2,CM,2,CMpure,0.0670611439842209
31,31,old,2,CM,2,MIX,0.041666666666666664
32,32,old,2,CM,2,MIX2,0.1087866108786611
33,33,old,2,VM,1,VMpure,0.02574257425742574
34,34,old,2,VM,2,VMpure,0.06654676258992806
35,35,old,4,AN,1,ANpure,0.03319502074688797
36,36,old,4,AN,1,MIX,0.024193548387096774
37,37,old,4,AN,1,MIX2,0.03571428571428571
38,38,old,4,AN,2,ANpure,0.02834008097165992
39,39,old,4,AN,2,MIX,0.04918032786885246
40,40,old,4,AN,2,MIX2,0.07086614173228346
41,41,old,4,AN,3,ANpure,0.08653846153846154
42,42,old,4,AN,3,MIX,0.07377049180327869
43,43,old,4,AN,3,MIX2,0.16822429906542055
44,44,old,4,AN,4,ANpure,0.08906882591093117
45,45,old,4,AN,4,MIX,0.08653846153846154
46,46,old,4,AN,4,MIX2,0.08661417322834646
47,47,old,4,CM,1,CMpure,0.0273972602739726
48,48,old,4,CM,1,MIX,0.03278688524590164
49,49,old,4,CM,1,MIX2,0.05263157894736842
50,50,old,4,CM,2,CMpure,0.05426356589147287
51,51,old,4,CM,2,MIX,0.10344827586206896
52,52,old,4,CM,2,MIX2,0.07563025210084033
53,53,old,4,CM,3,CMpure,0.11206896551724138
54,54,old,4,CM,3,MIX,0.14035087719298245
55,55,old,4,CM,3,MIX2,0.14516129032258066
56,56,old,4,CM,4,CMpure,0.11328125
57,57,old,4,CM,4,MIX,0.11382113821138211
58,58,old,4,CM,4,MIX2,0.1721311475409836
59,59,old,4,VM,1,VMpure,0.050387596899224806
60,60,old,4,VM,2,VMpure,0.1
61,61,old,4,VM,3,VMpure,0.23220973782771537
62,62,old,4,VM,4,VMpure,0.16216216216216217
63,63,old,8,AN,1,ANpure,0.01904761904761905
64,64,old,8,AN,1,MIX,0.0
65,65,old,8,AN,1,MIX2,0.0
66,66,old,8,AN,2,ANpure,0.02564102564102564
67,67,old,8,AN,2,MIX,0.0
68,68,old,8,AN,2,MIX2,0.030303030303030304
69,69,old,8,AN,3,ANpure,0.044642857142857144
70,70,old,8,AN,3,MIX,0.08823529411764706
71,71,old,8,AN,3,MIX2,0.10144927536231885
72,72,old,8,AN,4,ANpure,0.12605042016806722
73,73,old,8,AN,4,MIX,0.16666666666666666
74,74,old,8,AN,4,MIX2,0.15384615384615385
75,75,old,8,AN,5,ANpure,0.09375
76,76,old,8,AN,5,MIX,0.14705882352941177
77,77,old,8,AN,5,MIX2,0.24528301886792453
78,78,old,8,AN,6,ANpure,0.09166666666666666
79,79,old,8,AN,6,MIX,0.14035087719298245
80,80,old,8,AN,6,MIX2,0.10294117647058823
81,81,old,8,AN,7,ANpure,0.1417910447761194
82,82,old,8,AN,7,MIX,0.16393442622950818
