"","Subnum","Block","Trial","Old","testcdisgard","Setsize","Serpos","Lag","Response","Correctness","Side","RT","WhichProbe","Stimkind","FileCondi","prob1","prob2","prob3","prob4","prob5","prob6","prob7","prob8"
"1",1,2,1,2,1,4,0,0,2,0,0,4589,75,1,"MIX",7,6,73,74,NA,NA,NA,NA
"2",1,2,2,1,1,4,3,2,1,1,1,894,2,0,"MIX",7,1,76,77,NA,NA,NA,NA
"3",1,2,3,1,1,2,1,2,2,1,0,782,3,0,"MIX",3,78,NA,NA,NA,NA,NA,NA
"4",1,2,4,1,1,4,4,1,1,1,1,870,8,0,"MIX",3,7,79,80,NA,NA,NA,NA
"5",1,2,5,2,1,2,0,0,1,0,1,951,11,1,"MIX",4,81,NA,NA,NA,NA,NA,NA
"6",1,2,6,1,1,2,2,1,2,1,0,693,7,0,"MIX",7,82,NA,NA,NA,NA,NA,NA
"7",1,2,7,1,1,2,1,2,1,1,1,733,1,0,"MIX",1,83,NA,NA,NA,NA,NA,NA
"8",1,2,8,2,1,4,0,0,1,1,0,1801,86,1,"MIX",4,7,84,85,NA,NA,NA,NA
"9",1,2,9,2,1,2,0,0,2,1,1,3732,88,1,"MIX",7,87,NA,NA,NA,NA,NA,NA
"10",1,2,10,1,1,4,1,4,1,1,1,1607,5,0,"MIX",7,3,89,90,NA,NA,NA,NA
"11",1,2,11,1,1,4,1,4,1,1,1,784,2,0,"MIX",6,7,91,92,NA,NA,NA,NA
"12",1,2,12,2,1,8,0,0,2,0,0,1761,97,1,"MIX",8,6,7,2,93,94,95,96
"13",1,2,13,2,1,4,0,0,2,1,1,3140,14,1,"MIX",1,3,98,99,NA,NA,NA,NA
"14",1,2,14,1,1,2,2,1,2,1,0,746,8,0,"MIX",8,100,NA,NA,NA,NA,NA,NA
"15",1,2,15,1,1,2,1,2,1,1,1,641,7,0,"MIX",8,101,NA,NA,NA,NA,NA,NA
"16",1,2,16,1,1,4,1,4,1,1,1,576,6,0,"MIX",2,4,102,103,NA,NA,NA,NA
"17",1,2,17,1,1,4,2,3,2,1,0,721,4,0,"MIX",3,1,104,105,NA,NA,NA,NA
"18",1,2,18,2,1,2,0,0,2,1,1,712,9,1,"MIX",5,106,NA,NA,NA,NA,NA,NA
"19",1,2,19,2,1,8,0,0,2,1,1,4255,111,1,"MIX",1,8,6,2,107,108,109,110
"20",1,2,20,1,1,8,3,6,1,1,1,710,6,0,"MIX",8,1,7,6,112,113,114,115
"21",1,2,21,2,1,4,0,0,1,1,0,1315,9,1,"MIX",6,4,116,117,NA,NA,NA,NA
"22",1,2,22,1,1,4,2,3,1,1,1,663,6,0,"MIX",2,4,118,119,NA,NA,NA,NA
"23",1,2,23,1,1,4,1,4,1,1,1,661,1,0,"MIX",1,5,120,121,NA,NA,NA,NA
"24",1,2,24,2,1,4,0,0,1,1,0,820,15,1,"MIX",5,3,122,123,NA,NA,NA,NA
"25",1,3,1,1,1,8,3,6,2,1,0,963,1,0,"MIX",2,7,6,8,124,125,126,127
"26",1,3,2,1,1,2,1,2,2,1,0,705,1,0,"MIX",1,128,NA,NA,NA,NA,NA,NA
"27",1,3,3,1,1,8,7,2,1,1,1,679,3,0,"MIX",1,4,7,2,129,130,131,132
"28",1,3,4,1,1,2,1,2,2,1,0,720,4,0,"MIX",6,133,NA,NA,NA,NA,NA,NA
"29",1,3,5,1,1,4,3,2,2,1,0,780,4,0,"MIX",5,1,134,135,NA,NA,NA,NA
"30",1,3,6,2,1,2,0,0,2,1,1,2609,137,1,"MIX",3,136,NA,NA,NA,NA,NA,NA
"31",1,3,7,1,1,2,2,1,2,1,0,780,3,0,"MIX",1,138,NA,NA,NA,NA,NA,NA
"32",1,3,8,2,1,4,0,0,2,0,0,1958,141,1,"MIX",2,5,139,140,NA,NA,NA,NA
"33",1,3,9,1,1,8,1,8,1,1,1,1131,6,0,"MIX",4,5,3,1,142,143,144,145
"34",1,3,10,2,1,4,0,0,2,1,1,727,10,1,"MIX",3,7,146,147,NA,NA,NA,NA
"35",1,3,11,2,1,8,0,0,2,0,0,1084,13,1,"MIX",7,5,8,4,148,149,150,151
"36",1,3,12,2,1,2,0,0,2,1,1,2211,153,1,"MIX",8,152,NA,NA,NA,NA,NA,NA
"37",1,3,13,2,1,8,0,0,2,1,1,1967,158,1,"MIX",7,5,1,2,154,155,156,157
"38",1,3,14,1,1,4,2,3,1,0,0,3272,3,0,"MIX",5,2,159,160,NA,NA,NA,NA
"39",1,3,15,1,1,8,2,7,2,1,0,1096,3,0,"MIX",5,4,6,1,161,162,163,164
"40",1,3,16,1,1,2,2,1,2,1,0,625,2,0,"MIX",2,165,NA,NA,NA,NA,NA,NA
"41",1,3,17,1,1,8,2,7,1,1,1,698,3,0,"MIX",2,3,6,4,166,167,168,169
"42",1,3,18,2,1,2,0,0,2,1,1,690,9,1,"MIX",8,170,NA,NA,NA,NA,NA,NA
"43",1,3,19,1,1,8,6,3,2,1,0,633,3,0,"MIX",8,7,6,4,171,172,173,174
"44",1,3,20,2,1,2,0,0,2,0,0,3107,176,1,"MIX",3,175,NA,NA,NA,NA,NA,NA
"45",1,3,21,2,1,8,0,0,1,1,0,1977,181,1,"MIX",6,5,8,1,177,178,179,180
"46",1,3,22,1,1,8,7,2,1,1,1,748,3,0,"MIX",7,4,5,1,182,183,184,185
"47",1,3,23,1,1,4,2,3,1,1,1,1159,8,0,"MIX",3,7,186,187,NA,NA,NA,NA
"48",1,3,24,2,1,8,0,0,2,1,1,587,9,1,"MIX",7,1,3,8,188,189,190,191
"49",1,4,1,1,1,4,2,3,2,1,0,723,4,0,"MIX",1,2,192,193,NA,NA,NA,NA
"50",1,4,2,2,1,8,0,0,2,0,0,1079,13,1,"MIX",7,3,6,8,194,195,196,197
"51",1,4,3,1,1,8,2,7,1,1,1,607,1,0,"MIX",3,8,7,1,198,199,200,201
"52",1,4,4,2,1,2,0,0,1,1,0,2347,203,1,"MIX",8,202,NA,NA,NA,NA,NA,NA
"53",1,4,5,1,1,2,1,2,1,1,1,593,3,0,"MIX",3,204,NA,NA,NA,NA,NA,NA
"54",1,4,6,2,1,2,0,0,1,1,0,718,11,1,"MIX",5,205,NA,NA,NA,NA,NA,NA
"55",1,4,7,2,1,4,0,0,2,1,1,1114,14,1,"MIX",1,5,206,207,NA,NA,NA,NA
"56",1,4,8,2,1,2,0,0,2,1,1,625,15,1,"MIX",4,208,NA,NA,NA,NA,NA,NA
