,Subnum,Block,Trial,Old,testcdisgard,Setsize,Serpos,Lag,Response,Correctness,Side,RT,WhichProbe,Stimkind,FileCondi,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
1,1,2,1,1,1,8,5,4,1,1,1,1402,3,1,CMpure,16,10,9,14,11,13,15,12
2,1,2,2,1,1,8,7,2,2,1,0,854,8,1,CMpure,6,4,2,5,3,7,8,1
3,1,2,3,2,1,8,0,0,2,1,1,1256,12,1,CMpure,14,11,16,9,10,13,12,15
4,1,2,4,1,1,8,2,7,1,1,1,1098,3,1,CMpure,15,11,16,12,9,13,14,10
5,1,2,5,1,1,2,2,1,1,1,1,753,2,1,CMpure,16,10,NA,NA,NA,NA,NA,NA
6,1,2,6,1,1,2,2,1,2,1,0,760,6,1,CMpure,5,6,NA,NA,NA,NA,NA,NA
7,1,2,7,2,1,2,0,0,2,1,1,782,14,1,CMpure,10,16,NA,NA,NA,NA,NA,NA
8,1,2,8,2,1,4,0,0,1,1,0,583,11,1,CMpure,4,3,5,6,NA,NA,NA,NA
9,1,2,9,1,1,4,1,4,1,0,0,633,5,1,CMpure,5,3,6,1,NA,NA,NA,NA
10,1,2,10,2,1,4,0,0,2,1,1,1065,10,1,CMpure,16,10,15,9,NA,NA,NA,NA
11,1,2,11,2,1,4,0,0,1,1,0,1287,9,1,CMpure,8,7,1,5,NA,NA,NA,NA
12,1,2,12,1,1,4,4,1,1,1,1,733,7,1,CMpure,13,9,10,15,NA,NA,NA,NA
13,1,2,13,2,1,8,0,0,2,1,1,1204,9,1,CMpure,12,16,14,10,11,15,9,13
14,1,2,14,2,1,2,0,0,2,1,1,5528,9,1,CMpure,14,12,NA,NA,NA,NA,NA,NA
15,1,2,15,1,1,4,2,3,1,0,0,805,5,1,CMpure,1,5,6,8,NA,NA,NA,NA
16,1,2,16,2,1,8,0,0,2,1,1,696,11,1,CMpure,14,15,11,12,13,10,16,9
17,1,2,17,2,1,4,0,0,2,1,1,998,16,1,CMpure,9,15,16,11,NA,NA,NA,NA
18,1,2,18,2,1,2,0,0,2,0,0,1169,15,1,CMpure,5,6,NA,NA,NA,NA,NA,NA
19,1,2,19,2,1,4,0,0,2,1,1,908,13,1,CMpure,14,9,15,16,NA,NA,NA,NA
20,1,2,20,1,1,2,2,1,1,1,1,780,8,1,CMpure,9,16,NA,NA,NA,NA,NA,NA
21,1,2,21,2,1,4,0,0,2,1,1,710,11,1,CMpure,16,12,13,11,NA,NA,NA,NA
22,1,2,22,1,1,8,7,2,2,1,0,782,4,1,CMpure,3,6,5,8,2,7,4,1
23,1,2,23,1,1,4,2,3,2,1,0,680,2,1,CMpure,4,2,7,8,NA,NA,NA,NA
24,1,2,24,2,1,8,0,0,2,1,1,1216,16,1,CMpure,15,14,13,9,16,12,10,11
25,1,3,1,2,1,4,0,0,1,1,0,1105,15,1,CMpure,4,1,5,7,NA,NA,NA,NA
26,1,3,2,1,1,8,8,1,2,1,0,777,7,1,CMpure,5,6,4,2,8,1,3,7
27,1,3,3,2,1,4,0,0,1,1,0,1139,9,1,CMpure,5,7,2,1,NA,NA,NA,NA
28,1,3,4,2,1,2,0,0,2,1,1,458,10,1,CMpure,10,15,NA,NA,NA,NA,NA,NA
29,1,3,5,1,1,2,2,1,1,1,1,1004,2,1,CMpure,15,10,NA,NA,NA,NA,NA,NA
30,1,3,6,1,1,8,6,3,2,1,0,632,2,1,CMpure,3,1,6,7,4,2,5,8
31,1,3,7,2,1,2,0,0,2,1,1,1202,14,1,CMpure,14,10,NA,NA,NA,NA,NA,NA
32,1,3,8,2,1,2,0,0,1,1,0,422,15,1,CMpure,8,5,NA,NA,NA,NA,NA,NA
33,1,3,9,2,1,8,0,0,1,1,0,2441,10,1,CMpure,8,6,3,5,7,2,1,4
34,1,3,10,2,1,8,0,0,2,1,1,1099,9,1,CMpure,14,13,9,10,16,15,12,11
35,1,3,11,2,1,8,0,0,1,1,0,611,14,1,CMpure,4,3,1,7,5,8,2,6
36,1,3,12,2,1,4,0,0,1,0,1,836,16,1,CMpure,15,9,14,13,NA,NA,NA,NA
37,1,3,13,2,1,8,0,0,2,1,1,727,11,1,CMpure,10,15,9,12,14,13,11,16
38,1,3,14,2,1,2,0,0,1,1,0,526,11,1,CMpure,5,7,NA,NA,NA,NA,NA,NA
39,1,3,15,2,1,8,0,0,2,1,1,797,15,1,CMpure,14,12,16,10,13,9,11,15
40,1,3,16,1,1,2,1,2,1,1,1,801,1,1,CMpure,9,13,NA,NA,NA,NA,NA,NA
41,1,3,17,2,1,4,0,0,2,1,1,842,12,1,CMpure,9,14,15,12,NA,NA,NA,NA
42,1,3,18,2,1,2,0,0,2,1,1,732,11,1,CMpure,15,14,NA,NA,NA,NA,NA,NA
43,1,3,19,2,1,8,0,0,2,0,0,899,15,1,CMpure,7,1,4,3,6,2,5,8
44,1,3,20,2,1,8,0,0,2,0,0,883,13,1,CMpure,7,2,5,8,1,4,6,3
45,1,3,21,2,1,4,0,0,1,1,0,504,16,1,CMpure,6,4,1,5,NA,NA,NA,NA
46,1,3,22,2,1,4,0,0,2,1,1,845,13,1,CMpure,12,11,16,9,NA,NA,NA,NA
47,1,3,23,2,1,2,0,0,2,1,1,1104,12,1,CMpure,14,13,NA,NA,NA,NA,NA,NA
48,1,3,24,2,1,8,0,0,2,1,1,888,13,1,CMpure,9,14,11,12,10,13,15,16
49,1,4,1,2,1,2,0,0,2,1,1,1959,12,1,CMpure,11,16,NA,NA,NA,NA,NA,NA
50,1,4,2,2,1,2,0,0,2,1,1,1341,9,1,CMpure,13,15,NA,NA,NA,NA,NA,NA
51,1,4,3,2,1,8,0,0,1,1,0,1003,16,1,CMpure,1,8,2,5,6,4,3,7
52,1,4,4,1,1,4,1,4,2,1,0,764,7,1,CMpure,7,1,6,3,NA,NA,NA,NA
53,1,4,5,1,1,8,2,7,2,0,1,706,6,1,CMpure,9,14,16,13,15,12,11,10
54,1,4,6,2,1,2,0,0,2,0,0,857,13,1,CMpure,3,6,NA,NA,NA,NA,NA,NA
55,1,4,7,1,1,8,3,6,2,0,1,683,1,1,CMpure,16,14,9,10,11,12,13,15
56,1,4,8,2,1,8,0,0,2,0,0,916,16,1,CMpure,5,2,7,3,4,6,8,1
57,1,4,9,2,1,4,0,0,1,1,0,536,16,1,CMpure,7,8,3,6,NA,NA,NA,NA
58,1,4,10,2,1,4,0,0,2,1,1,668,10,1,CMpure,9,11,14,10,NA,NA,NA,NA
59,1,4,11,1,1,4,2,3,1,0,0,475,6,1,CMpure,1,6,7,5,NA,NA,NA,NA
60,1,4,12,1,1,8,6,3,1,1,1,812,3,1,CMpure,10,12,15,9,16,11,14,13
61,1,4,13,1,1,8,7,2,1,1,1,496,7,1,CMpure,13,10,11,14,9,16,15,12
62,1,4,14,2,1,8,0,0,1,1,0,1248,16,1,CMpure,4,5,7,3,1,2,6,8
63,1,4,15,1,1,8,3,6,2,0,1,1042,2,1,CMpure,13,11,10,9,14,16,12,15
64,1,4,16,2,1,4,0,0,1,1,0,465,16,1,CMpure,1,7,5,4,NA,NA,NA,NA
65,1,4,17,2,1,2,0,0,2,1,1,451,16,1,CMpure,11,13,NA,NA,NA,NA,NA,NA
66,1,4,18,2,1,8,0,0,2,1,1,869,9,1,CMpure,9,13,10,15,12,14,11,16
67,1,4,19,1,1,2,2,1,1,1,1,390,5,1,CMpure,12,13,NA,NA,NA,NA,NA,NA
68,1,4,20,2,1,4,0,0,1,1,0,560,12,1,CMpure,5,6,2,7,NA,NA,NA,NA
69,1,4,21,2,1,2,0,0,1,1,0,382,16,1,CMpure,6,3,NA,NA,NA,NA,NA,NA
70,1,4,22,2,1,2,0,0,1,1,0,385,9,1,CMpure,3,8,NA,NA,NA,NA,NA,NA
71,1,4,23,2,1,8,0,0,1,1,0,326,12,1,CMpure,4,6,7,8,1,3,2,5
72,1,4,24,2,1,8,0,0,1,1,0,557,11,1,CMpure,2,7,5,8,4,6,3,1
73,1,5,1,2,1,8,0,0,2,1,1,507,14,1,CMpure,10,12,14,11,15,13,16,9
74,1,5,2,1,1,4,3,2,1,1,1,465,8,1,CMpure,10,13,16,9,NA,NA,NA,NA
75,1,5,3,1,1,2,1,2,2,1,0,594,6,1,CMpure,6,7,NA,NA,NA,NA,NA,NA
76,1,5,4,2,1,4,0,0,2,1,1,484,10,1,CMpure,16,9,12,14,NA,NA,NA,NA
77,1,5,5,2,1,4,0,0,1,1,0,602,12,1,CMpure,2,7,1,8,NA,NA,NA,NA
78,1,5,6,2,1,2,0,0,1,1,0,517,12,1,CMpure,2,5,NA,NA,NA,NA,NA,NA
79,1,5,7,2,1,2,0,0,1,1,0,421,16,1,CMpure,6,5,NA,NA,NA,NA,NA,NA
80,1,5,8,1,1,8,1,8,2,1,0,935,5,1,CMpure,5,6,3,4,2,7,1,8
81,1,5,9,1,1,8,6,3,2,1,0,678,6,1,CMpure,2,8,3,1,5,6,4,7
82,1,5,10,1,1,4,4,1,2,1,0,340,1,1,CMpure,6,4,7,1,NA,NA,NA,NA
83,1,5,11,1,1,8,2,7,1,1,1,619,1,1,CMpure,12,9,15,13,10,14,11,16
84,1,5,12,2,1,4,0,0,2,1,1,555,12,1,CMpure,12,9,13,16,NA,NA,NA,NA
85,1,5,13,1,1,4,1,4,1,0,0,366,4,1,CMpure,4,1,7,2,NA,NA,NA,NA
86,1,5,14,2,1,2,0,0,2,1,1,1107,13,1,CMpure,12,9,NA,NA,NA,NA,NA,NA
87,1,5,15,2,1,2,0,0,1,1,0,427,14,1,CMpure,3,4,NA,NA,NA,NA,NA,NA
