,Oldnew,Setsize,Probtype,Lag,Error,FileCondi,RT
0,new,2,AN,0,0,ANpure,816.3439273552781
1,new,2,AN,0,0,MIX,746.8812785388128
2,new,2,AN,0,0,MIX2,896.76
3,new,2,AN,0,1,ANpure,801.65625
4,new,2,AN,0,1,MIX,844.0
5,new,2,AN,0,1,MIX2,1084.6
6,new,2,CM,0,0,CMpure,766.1455897980871
7,new,2,CM,0,0,MIX,797.060737527115
8,new,2,CM,0,0,MIX2,866.1029082774049
9,new,2,CM,0,1,CMpure,875.2
10,new,2,CM,0,1,MIX,1140.6315789473683
11,new,2,CM,0,1,MIX2,1021.1875
12,new,2,VM,0,0,VMpure,815.3315844700944
13,new,2,VM,0,1,VMpure,947.6904761904761
14,new,4,AN,0,0,ANpure,837.0359147025814
15,new,4,AN,0,0,MIX,777.1508620689655
16,new,4,AN,0,0,MIX2,887.3986486486486
17,new,4,AN,0,1,ANpure,904.5833333333334
18,new,4,AN,0,1,MIX,934.8888888888889
19,new,4,AN,0,1,MIX2,1056.8636363636363
20,new,4,CM,0,0,CMpure,791.9916579770594
21,new,4,CM,0,0,MIX,859.0381861575179
22,new,4,CM,0,0,MIX2,909.243956043956
23,new,4,CM,0,1,CMpure,996.8085106382979
24,new,4,CM,0,1,MIX,1056.0
25,new,4,CM,0,1,MIX2,1160.655172413793
26,new,4,VM,0,0,VMpure,886.1322140608604
27,new,4,VM,0,1,VMpure,947.7191011235955
28,new,8,AN,0,0,ANpure,848.9551066217733
29,new,8,AN,0,0,MIX,807.8244444444445
30,new,8,AN,0,0,MIX2,937.8803921568627
31,new,8,AN,0,1,ANpure,936.8407079646017
32,new,8,AN,0,1,MIX,1009.48
33,new,8,AN,0,1,MIX2,1215.2916666666667
34,new,8,CM,0,0,CMpure,820.6693961105425
35,new,8,CM,0,0,MIX,930.9870466321244
36,new,8,CM,0,0,MIX2,1012.1188118811881
37,new,8,CM,0,1,CMpure,947.0
38,new,8,CM,0,1,MIX,963.4615384615385
39,new,8,CM,0,1,MIX2,1044.4545454545455
40,new,8,VM,0,0,VMpure,949.0848708487085
41,new,8,VM,0,1,VMpure,1044.7951219512195
42,old,2,AN,1,0,ANpure,715.6753507014027
43,old,2,AN,1,0,MIX,683.0746887966804
44,old,2,AN,1,0,MIX2,798.801652892562
45,old,2,AN,1,1,ANpure,798.6923076923077
46,old,2,AN,1,1,MIX,730.9
47,old,2,AN,1,1,MIX2,852.0
48,old,2,AN,2,0,ANpure,768.0062630480166
49,old,2,AN,2,0,MIX,733.8481012658228
50,old,2,AN,2,0,MIX2,781.2543103448276
51,old,2,AN,2,1,ANpure,1034.88
52,old,2,AN,2,1,MIX,793.1666666666666
53,old,2,AN,2,1,MIX2,885.5714285714286
54,old,2,CM,1,0,CMpure,678.7654584221748
55,old,2,CM,1,0,MIX,738.3957446808511
56,old,2,CM,1,0,MIX2,802.8166666666667
57,old,2,CM,1,1,CMpure,685.2666666666667
58,old,2,CM,1,1,MIX,742.2142857142857
59,old,2,CM,1,1,MIX2,1114.3333333333333
60,old,2,CM,2,0,CMpure,727.9809725158563
61,old,2,CM,2,0,MIX,798.2260869565217
62,old,2,CM,2,0,MIX2,930.8403755868544
63,old,2,CM,2,1,CMpure,874.0
64,old,2,CM,2,1,MIX,865.6
65,old,2,CM,2,1,MIX2,1118.576923076923
66,old,2,VM,1,0,VMpure,742.5752032520326
67,old,2,VM,1,1,VMpure,723.8461538461538
68,old,2,VM,2,0,VMpure,806.7957610789981
69,old,2,VM,2,1,VMpure,1029.7027027027027
70,old,4,AN,1,0,ANpure,661.6609442060086
71,old,4,AN,1,0,MIX,664.2644628099174
72,old,4,AN,1,0,MIX2,767.4351851851852
73,old,4,AN,1,1,ANpure,801.375
74,old,4,AN,1,1,MIX,766.6666666666666
75,old,4,AN,1,1,MIX2,1136.5
76,old,4,AN,2,0,ANpure,765.2583333333333
77,old,4,AN,2,0,MIX,774.6120689655172
78,old,4,AN,2,0,MIX2,883.8474576271186
79,old,4,AN,2,1,ANpure,1005.4285714285714
80,old,4,AN,2,1,MIX,753.8333333333334
81,old,4,AN,2,1,MIX2,872.3333333333334
82,old,4,AN,3,0,ANpure,808.5421052631579
83,old,4,AN,3,0,MIX,843.1238938053098
84,old,4,AN,3,0,MIX2,896.2471910112359
85,old,4,AN,3,1,ANpure,945.0
86,old,4,AN,3,1,MIX,938.7777777777778
87,old,4,AN,3,1,MIX2,894.7777777777778
88,old,4,AN,4,0,ANpure,856.24
89,old,4,AN,4,0,MIX,851.8736842105263
90,old,4,AN,4,0,MIX2,1006.9741379310345
91,old,4,AN,4,1,ANpure,929.9545454545455
92,old,4,AN,4,1,MIX,731.5555555555555
93,old,4,AN,4,1,MIX2,1082.3636363636363
94,old,4,CM,1,0,CMpure,665.1032863849765
95,old,4,CM,1,0,MIX,716.7118644067797
96,old,4,CM,1,0,MIX2,783.4814814814815
97,old,4,CM,1,1,CMpure,904.0
98,old,4,CM,1,1,MIX,946.25
99,old,4,CM,1,1,MIX2,1197.6666666666667
100,old,4,CM,2,0,CMpure,778.110655737705
101,old,4,CM,2,0,MIX,824.6057692307693
102,old,4,CM,2,0,MIX2,901.8909090909091
103,old,4,CM,2,1,CMpure,854.7142857142857
104,old,4,CM,2,1,MIX,977.8333333333334
105,old,4,CM,2,1,MIX2,1277.5555555555557
106,old,4,CM,3,0,CMpure,770.1941747572815
107,old,4,CM,3,0,MIX,887.6632653061224
108,old,4,CM,3,0,MIX2,970.7264150943396
109,old,4,CM,3,1,CMpure,820.6153846153846
110,old,4,CM,3,1,MIX,991.875
111,old,4,CM,3,1,MIX2,1068.388888888889
112,old,4,CM,4,0,CMpure,811.0088105726873
113,old,4,CM,4,0,MIX,838.0
114,old,4,CM,4,0,MIX2,984.019801980198
115,old,4,CM,4,1,CMpure,911.5862068965517
116,old,4,CM,4,1,MIX,916.8571428571429
117,old,4,CM,4,1,MIX2,1268.3333333333333
118,old,4,VM,1,0,VMpure,779.3061224489796
119,old,4,VM,1,1,VMpure,865.5384615384615
120,old,4,VM,2,0,VMpure,855.1538461538462
121,old,4,VM,2,1,VMpure,876.3076923076923
122,old,4,VM,3,0,VMpure,921.0390243902439
123,old,4,VM,3,1,VMpure,941.3387096774194
124,old,4,VM,4,0,VMpure,933.889400921659
125,old,4,VM,4,1,VMpure,1053.0
126,old,8,AN,1,0,ANpure,772.242718446602
127,old,8,AN,1,0,MIX,744.4666666666667
128,old,8,AN,1,0,MIX2,914.15
129,old,8,AN,1,1,ANpure,257.5
130,old,8,AN,2,0,ANpure,805.0701754385965
131,old,8,AN,2,0,MIX,753.1458333333334
132,old,8,AN,2,0,MIX2,907.671875
133,old,8,AN,2,1,ANpure,979.3333333333334
134,old,8,AN,2,1,MIX2,898.0
135,old,8,AN,3,0,ANpure,830.588785046729
136,old,8,AN,3,0,MIX,824.2096774193549
137,old,8,AN,3,0,MIX2,1001.6290322580645
138,old,8,AN,3,1,ANpure,1120.2
139,old,8,AN,3,1,MIX,1126.8333333333333
140,old,8,AN,3,1,MIX2,986.8571428571429
141,old,8,AN,4,0,ANpure,904.5288461538462
142,old,8,AN,4,0,MIX,872.2
143,old,8,AN,4,0,MIX2,1006.7454545454545
144,old,8,AN,4,1,ANpure,762.0
145,old,8,AN,4,1,MIX,861.0
146,old,8,AN,4,1,MIX2,993.0
147,old,8,AN,5,0,ANpure,898.9224137931035
148,old,8,AN,5,0,MIX,823.1379310344828
149,old,8,AN,5,0,MIX2,983.275
150,old,8,AN,5,1,ANpure,832.0
151,old,8,AN,5,1,MIX,713.1
152,old,8,AN,5,1,MIX2,858.7692307692307
153,old,8,AN,6,0,ANpure,860.8440366972477
154,old,8,AN,6,0,MIX,864.2857142857143
155,old,8,AN,6,0,MIX2,981.1475409836065
156,old,8,AN,6,1,ANpure,1130.5454545454545
