"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"1","CMat",1,"New","AN",704,0.0232558139534884
"2","CMat",1,"New","CM",702,0.0208333333333334
"3","CMat",1,"Old","AN",801.5,0.0188679245283019
"4","CMat",1,"Old","CM",713,0.0625
"5","CMat",2,"New","AN",515,0.0192307692307693
"6","CMat",2,"New","CM",596,0
"7","CMat",2,"Old","AN",571,0.0454545454545454
"8","CMat",2,"Old","CM",530,0
"9","CMat",3,"New","AN",1856,0.725
"10","CMat",3,"New","CM",900,0.12
"11","CMat",3,"Old","AN",936,0.0975609756097561
"12","CMat",3,"Old","CM",807.5,0.05
"13","CMat",4,"New","AN",496,0
"14","CMat",4,"New","CM",567,0.0416666666666666
"15","CMat",4,"Old","AN",523,0.02
"16","CMat",4,"Old","CM",527,0.0208333333333334
"17","CMat",5,"New","AN",630,0.0192307692307693
"18","CMat",5,"New","CM",659,0
"19","CMat",5,"Old","AN",720,0.0227272727272727
"20","CMat",5,"Old","CM",612,0
"21","CMat",6,"New","AN",520,0.0208333333333334
"22","CMat",6,"New","CM",647,0.0681818181818182
"23","CMat",6,"Old","AN",606.5,0.0833333333333334
"24","CMat",6,"Old","CM",531,0.0192307692307693
"25","CMat",7,"New","AN",1035,0.125
"26","CMat",7,"New","CM",1014,0.108695652173913
"27","CMat",7,"Old","AN",1068.5,0
"28","CMat",7,"Old","CM",956,0.0816326530612245
"29","CMat",8,"New","AN",783.5,0.0370370370370371
"30","CMat",8,"New","CM",813,0.113636363636364
"31","CMat",8,"Old","AN",956.5,0.0476190476190477
"32","CMat",8,"Old","CM",979,0.117647058823529
"33","CMat",9,"New","AN",727.5,0.318181818181818
"34","CMat",9,"New","CM",754,0.196078431372549
"35","CMat",9,"Old","AN",506,0.173076923076923
"36","CMat",9,"Old","CM",507,0.0714285714285714
"37","CMat",11,"New","AN",579,0.0217391304347826
"38","CMat",11,"New","CM",758,0.0425531914893617
"39","CMat",11,"Old","AN",564.5,0
"40","CMat",11,"Old","CM",682,0.0408163265306123
"41","CMat",12,"New","AN",1042,0.105263157894737
"42","CMat",12,"New","CM",998,0.0566037735849056
"43","CMat",12,"Old","AN",813.5,0.0689655172413793
"44","CMat",12,"Old","CM",863.5,0.073170731707317
"45","CMat",13,"New","AN",589,0.0408163265306123
"46","CMat",13,"New","CM",699.5,0.0222222222222223
"47","CMat",13,"Old","AN",587,0.0212765957446809
"48","CMat",13,"Old","CM",650,0.0392156862745098
"49","CMat",14,"New","AN",672,0
"50","CMat",14,"New","CM",624,0.0217391304347826
"51","CMat",14,"Old","AN",617,0.0392156862745098
"52","CMat",14,"Old","CM",597,0.02
"53","CMat",15,"New","AN",571.5,0
"54","CMat",15,"New","CM",636.5,0.0204081632653061
"55","CMat",15,"Old","AN",574,0
"56","CMat",15,"Old","CM",564.5,0.0212765957446809
"57","CMat",16,"New","AN",1507,0.189189189189189
"58","CMat",16,"New","CM",1581.5,0.372549019607843
"59","CMat",16,"Old","AN",943,0.0689655172413793
"60","CMat",16,"Old","CM",1145.5,0.0952380952380952
"61","CMat",17,"New","AN",850.5,0.0909090909090909
"62","CMat",17,"New","CM",824,0.0465116279069767
"63","CMat",17,"Old","AN",821,0.0769230769230769
"64","CMat",17,"Old","CM",644,0.0566037735849056
"65","CMat",18,"New","AN",950,0.625
"66","CMat",18,"New","CM",900,0.627450980392157
"67","CMat",18,"Old","AN",507,0.0535714285714286
"68","CMat",18,"Old","CM",468,0
"69","CMat",19,"New","AN",740.5,0
"70","CMat",19,"New","CM",746.5,0.0454545454545454
"71","CMat",19,"Old","AN",700,0.0217391304347826
"72","CMat",19,"Old","CM",661,0
"73","CMat",20,"New","AN",665,0.0294117647058824
"74","CMat",20,"New","CM",647,0.0465116279069767
"75","CMat",20,"Old","AN",599,0.0483870967741935
"76","CMat",20,"Old","CM",539,0
"77","CMat",21,"New","AN",551.5,0.0384615384615384
"78","CMat",21,"New","CM",583,0.111111111111111
"79","CMat",21,"Old","AN",552.5,0.272727272727273
"80","CMat",21,"Old","CM",608,0.166666666666667
"81","CMat",22,"New","AN",541,0.0196078431372549
"82","CMat",22,"New","CM",556,0.0227272727272727
"83","CMat",22,"Old","AN",594,0.0444444444444444
"84","CMat",22,"Old","CM",626,0.115384615384615
"85","CMat",23,"New","AN",634.5,0
"86","CMat",23,"New","CM",631.5,0.0222222222222223
"87","CMat",23,"Old","AN",669.5,0.130434782608696
"88","CMat",23,"Old","CM",634.5,0.0612244897959183
"89","CMat",24,"New","AN",587,0.0196078431372549
"90","CMat",24,"New","CM",666,0.0408163265306123
"91","CMat",24,"Old","AN",634,0
"92","CMat",24,"Old","CM",627,0
"93","CMat",26,"New","AN",928,0.08
"94","CMat",26,"New","CM",856.5,0
"95","CMat",26,"Old","AN",897,0.0652173913043478
"96","CMat",26,"Old","CM",712,0
"97","CMat",27,"New","AN",836,0
"98","CMat",27,"New","CM",1095,0.146341463414634
"99","CMat",27,"Old","AN",909,0.0217391304347826
"100","CMat",27,"Old","CM",937,0.0185185185185185
"101","CMat",28,"New","AN",552,0
"102","CMat",28,"New","CM",631,0.0408163265306123
"103","CMat",28,"Old","AN",704,0.113636363636364
"104","CMat",28,"Old","CM",641,0
"105","CMat",29,"New","AN",764.5,0.434782608695652
"106","CMat",29,"New","CM",1126,0.434782608695652
"107","CMat",29,"Old","AN",810,0.404761904761905
"108","CMat",29,"Old","CM",591,0.326530612244898
"109","CMat",30,"New","AN",545,0
"110","CMat",30,"New","CM",553,0.0175438596491229
"111","CMat",30,"Old","AN",577,0.0256410256410257
"112","CMat",30,"Old","CM",530.5,0.0256410256410257
"113","CMat",31,"New","AN",668.5,0.0204081632653061
"114","CMat",31,"New","CM",845,0.188679245283019
"115","CMat",31,"Old","AN",826,0.0212765957446809
"116","CMat",31,"Old","CM",786,0.0476190476190477
"117","CMat",32,"New","AN",744.5,0
"118","CMat",32,"New","CM",796,0.08
