"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"1","CMat",1,"New","AN",704,0.0232558139534884
"2","CMat",1,"New","CM",702,0.0208333333333334
"3","CMat",1,"Old","AN",801.5,0.0188679245283019
"4","CMat",1,"Old","CM",713,0.0625
"5","CMat",2,"New","AN",515,0.0192307692307693
"6","CMat",2,"New","CM",596,0
"7","CMat",2,"Old","AN",571,0.0454545454545454
"8","CMat",2,"Old","CM",530,0
"9","CMat",4,"New","AN",496,0
"10","CMat",4,"New","CM",567,0.0416666666666666
"11","CMat",4,"Old","AN",523,0.02
"12","CMat",4,"Old","CM",527,0.0208333333333334
"13","CMat",5,"New","AN",630,0.0192307692307693
"14","CMat",5,"New","CM",659,0
"15","CMat",5,"Old","AN",720,0.0227272727272727
"16","CMat",5,"Old","CM",612,0
"17","CMat",6,"New","AN",520,0.0208333333333334
"18","CMat",6,"New","CM",647,0.0681818181818182
"19","CMat",6,"Old","AN",606.5,0.0833333333333334
"20","CMat",6,"Old","CM",531,0.0192307692307693
"21","CMat",7,"New","AN",1035,0.125
"22","CMat",7,"New","CM",1014,0.108695652173913
"23","CMat",7,"Old","AN",1068.5,0
"24","CMat",7,"Old","CM",956,0.0816326530612245
"25","CMat",8,"New","AN",783.5,0.0370370370370371
"26","CMat",8,"New","CM",813,0.113636363636364
"27","CMat",8,"Old","AN",956.5,0.0476190476190477
"28","CMat",8,"Old","CM",979,0.117647058823529
"29","CMat",9,"New","AN",727.5,0.318181818181818
"30","CMat",9,"New","CM",754,0.196078431372549
"31","CMat",9,"Old","AN",506,0.173076923076923
"32","CMat",9,"Old","CM",507,0.0714285714285714
"33","CMat",11,"New","AN",579,0.0217391304347826
"34","CMat",11,"New","CM",758,0.0425531914893617
"35","CMat",11,"Old","AN",564.5,0
"36","CMat",11,"Old","CM",682,0.0408163265306123
"37","CMat",12,"New","AN",1042,0.105263157894737
"38","CMat",12,"New","CM",998,0.0566037735849056
"39","CMat",12,"Old","AN",813.5,0.0689655172413793
"40","CMat",12,"Old","CM",863.5,0.073170731707317
"41","CMat",13,"New","AN",589,0.0408163265306123
"42","CMat",13,"New","CM",699.5,0.0222222222222223
"43","CMat",13,"Old","AN",587,0.0212765957446809
"44","CMat",13,"Old","CM",650,0.0392156862745098
"45","CMat",14,"New","AN",672,0
"46","CMat",14,"New","CM",624,0.0217391304347826
"47","CMat",14,"Old","AN",617,0.0392156862745098
"48","CMat",14,"Old","CM",597,0.02
"49","CMat",15,"New","AN",571.5,0
"50","CMat",15,"New","CM",636.5,0.0204081632653061
"51","CMat",15,"Old","AN",574,0
"52","CMat",15,"Old","CM",564.5,0.0212765957446809
"53","CMat",17,"New","AN",850.5,0.0909090909090909
"54","CMat",17,"New","CM",824,0.0465116279069767
"55","CMat",17,"Old","AN",821,0.0769230769230769
"56","CMat",17,"Old","CM",644,0.0566037735849056
"57","CMat",18,"New","AN",950,0.625
"58","CMat",18,"New","CM",900,0.627450980392157
"59","CMat",18,"Old","AN",507,0.0535714285714286
"60","CMat",18,"Old","CM",468,0
"61","CMat",19,"New","AN",740.5,0
"62","CMat",19,"New","CM",746.5,0.0454545454545454
"63","CMat",19,"Old","AN",700,0.0217391304347826
"64","CMat",19,"Old","CM",661,0
"65","CMat",20,"New","AN",665,0.0294117647058824
"66","CMat",20,"New","CM",647,0.0465116279069767
"67","CMat",20,"Old","AN",599,0.0483870967741935
"68","CMat",20,"Old","CM",539,0
"69","CMat",21,"New","AN",551.5,0.0384615384615384
"70","CMat",21,"New","CM",583,0.111111111111111
"71","CMat",21,"Old","AN",552.5,0.272727272727273
"72","CMat",21,"Old","CM",608,0.166666666666667
"73","CMat",22,"New","AN",541,0.0196078431372549
"74","CMat",22,"New","CM",556,0.0227272727272727
"75","CMat",22,"Old","AN",594,0.0444444444444444
"76","CMat",22,"Old","CM",626,0.115384615384615
"77","CMat",23,"New","AN",634.5,0
"78","CMat",23,"New","CM",631.5,0.0222222222222223
"79","CMat",23,"Old","AN",669.5,0.130434782608696
"80","CMat",23,"Old","CM",634.5,0.0612244897959183
"81","CMat",24,"New","AN",587,0.0196078431372549
"82","CMat",24,"New","CM",666,0.0408163265306123
"83","CMat",24,"Old","AN",634,0
"84","CMat",24,"Old","CM",627,0
"85","CMat",26,"New","AN",928,0.08
"86","CMat",26,"New","CM",856.5,0
"87","CMat",26,"Old","AN",897,0.0652173913043478
"88","CMat",26,"Old","CM",712,0
"89","CMat",27,"New","AN",836,0
"90","CMat",27,"New","CM",1095,0.146341463414634
"91","CMat",27,"Old","AN",909,0.0217391304347826
"92","CMat",27,"Old","CM",937,0.0185185185185185
"93","CMat",28,"New","AN",552,0
"94","CMat",28,"New","CM",631,0.0408163265306123
"95","CMat",28,"Old","AN",704,0.113636363636364
"96","CMat",28,"Old","CM",641,0
"97","CMat",30,"New","AN",545,0
"98","CMat",30,"New","CM",553,0.0175438596491229
"99","CMat",30,"Old","AN",577,0.0256410256410257
"100","CMat",30,"Old","CM",530.5,0.0256410256410257
"101","CMat",31,"New","AN",668.5,0.0204081632653061
"102","CMat",31,"New","CM",845,0.188679245283019
"103","CMat",31,"Old","AN",826,0.0212765957446809
"104","CMat",31,"Old","CM",786,0.0476190476190477
"105","CMat",32,"New","AN",744.5,0
"106","CMat",32,"New","CM",796,0.08
"107","CMat",32,"Old","AN",655,0.04
"108","CMat",32,"Old","CM",619,0.0217391304347826
"109","CMat",33,"New","AN",485,0.0208333333333334
"110","CMat",33,"New","CM",504,0.142857142857143
"111","CMat",33,"Old","AN",465,0.208333333333333
"112","CMat",33,"Old","CM",411.5,0.0740740740740741
"113","CMat",34,"New","AN",591,0.0526315789473685
"114","CMat",34,"New","CM",586,0
"115","CMat",34,"Old","AN",545,0.0517241379310345
"116","CMat",34,"Old","CM",516,0
"117","CMat",35,"New","AN",695,0.0232558139534884
"118","CMat",35,"New","CM",796.5,0.0454545454545454
"119","CMat",35,"Old","AN",813,0
