"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"1",1,1,1,2,4,0,0,2,1,1152,4,8,10,1,3,NA,NA
"2",1,2,3,1,2,1,2,2,0,561,9,9,1,NA,NA,NA,NA
"3",1,3,2,1,6,6,1,1,1,630,3,10,9,1,2,7,3
"4",1,4,1,1,2,2,1,1,1,440,11,7,11,NA,NA,NA,NA
"5",1,5,1,1,2,2,1,1,1,496,11,9,11,NA,NA,NA,NA
"6",1,6,1,2,6,0,0,2,1,880,4,1,8,2,9,10,3
"7",1,7,2,1,6,2,5,1,1,1287,1,2,1,10,9,8,3
"8",1,8,1,1,2,2,1,1,1,448,11,7,11,NA,NA,NA,NA
"9",1,9,3,2,4,0,0,2,1,618,8,2,10,1,7,NA,NA
"10",1,10,3,2,6,0,0,2,1,1080,10,3,9,2,8,7,1
"11",1,11,3,2,2,0,0,2,1,448,10,2,8,NA,NA,NA,NA
"12",1,12,3,1,4,4,1,1,1,603,10,1,9,2,10,NA,NA
"13",1,13,2,1,4,1,4,1,1,939,2,2,1,9,7,NA,NA
"14",1,14,1,2,6,0,0,2,1,664,4,1,3,9,8,2,10
"15",1,15,3,1,2,1,2,1,1,816,10,10,1,NA,NA,NA,NA
"16",1,16,2,1,6,6,1,1,1,568,2,7,9,3,1,10,2
"17",1,17,3,1,4,2,3,1,1,683,9,3,9,10,2,NA,NA
"18",1,18,1,2,4,0,0,2,1,536,4,1,7,2,8,NA,NA
"19",1,19,3,2,4,0,0,2,1,939,8,10,2,3,9,NA,NA
"20",1,20,1,2,4,0,0,2,1,599,4,1,3,10,8,NA,NA
"21",1,21,3,1,4,3,2,1,1,834,8,2,7,8,3,NA,NA
"22",1,22,3,1,4,4,1,1,1,652,10,2,1,8,10,NA,NA
"23",1,23,2,2,4,0,0,2,1,770,6,3,2,7,9,NA,NA
"24",1,24,3,1,6,2,5,1,1,736,7,3,7,10,1,9,2
"25",1,25,3,2,2,0,0,2,1,779,9,3,7,NA,NA,NA,NA
"26",2,1,2,1,6,5,2,1,1,743,2,9,8,1,10,2,3
"27",2,2,2,1,6,6,1,1,1,490,2,7,10,3,9,1,2
"28",2,3,2,2,6,0,0,2,1,617,6,9,8,2,10,1,3
"29",2,4,3,1,6,6,1,1,1,781,10,2,3,8,1,7,10
"30",2,5,2,1,4,2,3,1,1,734,1,8,1,10,3,NA,NA
"31",2,6,2,1,2,2,1,1,1,445,3,10,3,NA,NA,NA,NA
"32",2,7,1,1,2,2,1,1,1,482,11,7,11,NA,NA,NA,NA
"33",2,8,3,1,2,2,1,1,1,415,8,3,8,NA,NA,NA,NA
"34",2,9,2,2,4,0,0,2,1,574,5,9,2,3,10,NA,NA
"35",2,10,2,1,6,5,2,1,1,747,3,1,9,10,7,3,2
"36",2,11,1,2,4,0,0,2,1,569,4,3,1,9,8,NA,NA
"37",2,12,3,2,2,0,0,2,1,564,10,1,9,NA,NA,NA,NA
"38",2,13,3,2,6,0,0,1,0,1332,9,1,8,7,10,3,2
"39",2,14,2,1,6,5,2,1,1,1023,3,1,7,2,10,3,8
"40",2,15,3,2,2,0,0,2,1,2378,7,2,10,NA,NA,NA,NA
"41",2,16,3,1,6,5,2,1,1,598,8,9,2,7,3,8,1
"42",2,17,2,1,6,4,3,1,1,713,2,1,9,10,2,3,8
"43",2,18,2,1,4,1,4,1,1,1119,1,1,8,2,7,NA,NA
"44",2,19,3,1,6,2,5,1,1,915,10,2,10,7,8,3,1
"45",2,20,1,2,2,0,0,2,1,559,4,3,7,NA,NA,NA,NA
"46",2,21,2,1,4,3,2,1,1,777,3,7,9,3,1,NA,NA
"47",2,22,3,2,4,0,0,2,1,738,9,8,2,10,3,NA,NA
