"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"1",1,1,2,2,6,0,0,2,1,692,6,8,9,3,2,1,7
"2",1,2,3,2,6,0,0,2,1,1484,10,9,3,7,8,1,2
"3",1,3,3,1,2,1,2,1,1,688,8,8,2,NA,NA,NA,NA
"4",1,4,2,1,2,1,2,1,1,1090,3,3,7,NA,NA,NA,NA
"5",1,5,1,2,2,0,0,2,1,530,4,1,7,NA,NA,NA,NA
"6",1,6,3,2,6,0,0,2,1,565,9,7,2,3,1,10,8
"7",1,7,1,1,2,1,2,1,1,676,11,11,8,NA,NA,NA,NA
"8",1,8,3,1,6,4,3,2,0,1031,9,10,8,2,9,1,3
"9",1,9,3,2,6,0,0,2,1,1023,7,2,3,8,9,10,1
"10",1,10,2,2,2,0,0,2,1,630,6,3,9,NA,NA,NA,NA
"11",1,11,3,2,2,0,0,2,1,513,10,7,3,NA,NA,NA,NA
"12",1,12,3,1,6,4,3,1,1,748,10,8,2,1,10,3,7
"13",1,13,2,1,4,4,1,1,1,720,2,9,8,3,2,NA,NA
"14",1,14,3,1,6,4,3,2,0,709,8,9,3,2,8,1,7
"15",1,15,2,1,6,1,6,2,0,666,1,1,2,9,7,3,10
"16",1,16,2,2,6,0,0,2,1,745,5,1,10,8,7,2,3
"17",1,17,1,2,6,0,0,2,1,673,4,8,7,3,2,1,9
"18",1,18,2,1,4,3,2,1,1,959,3,10,1,3,7,NA,NA
"19",1,19,1,1,2,2,1,1,0,1308,11,9,11,NA,NA,NA,NA
"20",1,20,1,2,6,0,0,2,1,581,4,2,10,3,7,9,1
"21",1,21,3,1,4,3,2,2,0,1015,7,3,2,7,10,NA,NA
"22",1,22,2,2,2,0,0,2,1,758,6,7,1,NA,NA,NA,NA
"23",1,23,3,2,4,0,0,2,1,730,10,9,8,1,2,NA,NA
"24",1,24,1,1,4,1,4,2,0,861,11,11,8,2,9,NA,NA
