,Block,Trial,Condition,OldNew,Setsize,Serpos,Lag,Response,Correctness,RT,WhichProbe,prob1,prob2,prob3,prob4,prob5,prob6
7,1,7,1,1,2,1,2,1,1,676,11,11,8,NA,NA,NA,NA
19,1,19,1,1,2,2,1,1,0,1308,11,9,11,NA,NA,NA,NA
24,1,24,1,1,4,1,4,2,0,861,11,11,8,2,9,NA,NA
36,2,11,1,1,2,1,2,1,1,630,11,11,9,NA,NA,NA,NA
60,3,10,1,1,4,3,2,1,1,521,11,10,8,11,1,NA,NA
66,3,16,1,1,6,4,3,1,1,845,11,8,3,2,11,7,10
75,3,25,1,1,2,2,1,1,0,596,11,8,11,NA,NA,NA,NA
96,4,21,1,1,4,2,3,2,0,1125,11,8,11,3,7,NA,NA
108,5,8,1,1,4,2,3,1,1,768,11,2,11,7,10,NA,NA
118,5,18,1,1,6,3,4,1,0,823,11,2,3,11,10,8,9
121,5,21,1,1,4,3,2,1,1,986,11,3,7,11,8,NA,NA
131,6,6,1,1,6,4,3,1,0,880,11,8,9,10,11,1,2
172,7,22,1,1,4,1,4,1,1,722,11,11,8,7,3,NA,NA
5,1,5,1,2,2,0,0,2,1,530,4,1,7,NA,NA,NA,NA
17,1,17,1,2,6,0,0,2,1,673,4,8,7,3,2,1,9
20,1,20,1,2,6,0,0,2,1,581,4,2,10,3,7,9,1
43,2,18,1,2,2,0,0,2,1,624,4,9,3,NA,NA,NA,NA
48,2,23,1,2,6,0,0,2,1,609,4,7,8,9,2,3,1
56,3,6,1,2,2,0,0,2,1,560,4,10,1,NA,NA,NA,NA
58,3,8,1,2,2,0,0,2,1,543,4,7,1,NA,NA,NA,NA
69,3,19,1,2,4,0,0,2,1,644,4,10,7,2,3,NA,NA
72,3,22,1,2,4,0,0,2,1,542,4,7,1,10,2,NA,NA
74,3,24,1,2,6,0,0,2,1,594,4,7,2,8,10,1,3
86,4,11,1,2,2,0,0,2,1,511,4,10,3,NA,NA,NA,NA
88,4,13,1,2,4,0,0,2,1,634,4,8,2,3,10,NA,NA
92,4,17,1,2,4,0,0,2,1,586,4,9,3,7,2,NA,NA
93,4,18,1,2,2,0,0,2,1,887,4,1,10,NA,NA,NA,NA
98,4,23,1,2,6,0,0,2,1,584,4,9,2,3,7,1,10
100,4,25,1,2,4,0,0,2,1,551,4,8,1,9,3,NA,NA
105,5,5,1,2,4,0,0,2,1,607,4,7,1,10,2,NA,NA
106,5,6,1,2,4,0,0,2,1,602,4,2,8,3,7,NA,NA
111,5,11,1,2,4,0,0,2,1,568,4,10,1,9,3,NA,NA
136,6,11,1,2,2,0,0,2,1,573,4,9,1,NA,NA,NA,NA
142,6,17,1,2,2,0,0,2,1,614,4,7,1,NA,NA,NA,NA
145,6,20,1,2,4,0,0,2,1,594,4,10,3,1,8,NA,NA
152,7,2,1,2,2,0,0,2,1,585,4,3,10,NA,NA,NA,NA
158,7,8,1,2,6,0,0,2,1,596,4,7,9,2,8,1,3
160,7,10,1,2,6,0,0,2,1,603,4,2,3,10,1,7,9
164,7,14,1,2,6,0,0,2,1,595,4,7,1,3,9,10,2
