"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"1",1,1,2,1,4,3,2,2,0,0,2,5,9,2,7,NA,NA
"2",1,2,5,2,6,0,0,2,1,0,8,5,7,9,10,6,2
"3",1,3,1,1,6,6,1,2,0,0,1,7,6,10,8,9,1
"4",1,4,2,1,4,3,2,2,0,0,2,5,7,2,8,NA,NA
"5",1,5,1,1,6,1,6,2,0,0,1,1,8,7,10,5,6
"6",1,6,5,2,2,0,0,2,1,0,8,2,7,NA,NA,NA,NA
"7",1,7,4,2,4,0,0,2,1,0,4,2,6,10,5,NA,NA
"8",1,8,4,2,6,0,0,2,1,0,4,9,2,10,6,5,8
"9",1,9,5,1,6,5,2,2,0,0,10,8,7,2,6,10,9
"10",1,10,5,2,2,0,0,2,1,0,8,7,5,NA,NA,NA,NA
"11",1,11,2,1,6,6,1,2,0,0,2,9,7,6,10,5,2
"12",1,12,4,2,2,0,0,2,1,0,4,7,9,NA,NA,NA,NA
"13",1,13,3,2,4,0,0,2,1,0,3,10,7,6,9,NA,NA
"14",1,14,1,1,4,1,4,2,0,0,1,1,6,10,9,NA,NA
"15",1,15,5,2,4,0,0,2,1,0,10,9,6,7,8,NA,NA
"16",1,16,1,1,2,2,1,2,0,0,1,9,1,NA,NA,NA,NA
"17",1,17,2,1,6,3,4,2,0,0,2,9,7,2,6,8,5
"18",1,18,5,2,4,0,0,2,1,0,6,7,2,8,5,NA,NA
"19",1,19,5,1,2,1,2,2,0,0,5,5,9,NA,NA,NA,NA
"20",1,20,4,2,6,0,0,2,1,0,4,6,9,2,7,8,10
"21",1,21,2,1,2,1,2,2,0,0,2,2,10,NA,NA,NA,NA
"22",1,22,5,2,6,0,0,2,1,0,5,7,6,8,9,10,2
"23",1,23,2,1,2,1,2,2,0,0,2,2,7,NA,NA,NA,NA
"24",1,24,4,2,6,0,0,2,1,0,4,9,5,7,10,2,8
"25",1,25,5,2,6,0,0,2,1,0,6,10,9,2,7,5,8
"26",2,1,5,1,2,1,2,2,0,0,7,7,9,NA,NA,NA,NA
"27",2,2,4,2,6,0,0,2,1,0,4,8,6,2,7,10,9
"28",2,3,1,1,6,2,5,2,0,0,1,5,1,7,8,9,6
"29",2,4,5,2,4,0,0,2,1,0,8,6,9,2,5,NA,NA
"30",2,5,2,1,2,1,2,2,0,0,2,2,8,NA,NA,NA,NA
"31",2,6,2,1,6,4,3,2,0,0,2,6,7,8,2,9,5
"32",2,7,2,1,6,2,5,2,0,0,2,7,2,8,9,10,6
"33",2,8,4,2,2,0,0,2,1,0,4,2,5,NA,NA,NA,NA
"34",2,9,5,1,2,2,1,2,0,0,9,8,9,NA,NA,NA,NA
"35",2,10,2,1,4,1,4,2,0,0,2,2,7,5,8,NA,NA
"36",2,11,5,2,6,0,0,2,1,0,9,5,6,10,7,8,2
"37",2,12,5,2,4,0,0,2,1,0,8,5,2,7,10,NA,NA
"38",2,13,4,2,6,0,0,2,1,0,4,2,10,5,6,9,8
"39",2,14,4,2,6,0,0,2,1,0,4,10,8,9,6,7,2
"40",2,15,4,2,4,0,0,2,1,0,4,7,8,10,2,NA,NA
"41",2,16,1,1,4,4,1,2,0,0,1,6,7,8,1,NA,NA
"42",2,17,5,1,2,1,2,2,0,0,8,8,1,NA,NA,NA,NA
"43",2,18,2,1,6,3,4,2,0,0,2,7,10,2,5,8,6
"44",2,19,4,2,6,0,0,2,1,0,4,5,6,10,7,9,2
"45",2,20,4,2,2,0,0,2,1,0,4,2,6,NA,NA,NA,NA
"46",2,21,1,1,4,4,1,2,0,0,1,8,7,9,1,NA,NA
"47",2,22,2,1,4,1,4,2,0,0,2,2,5,9,8,NA,NA
"48",2,23,5,2,6,0,0,2,1,0,6,10,2,9,5,8,7
"49",2,24,5,1,2,1,2,2,0,0,8,8,5,NA,NA,NA,NA
"50",2,25,2,1,6,6,1,2,0,0,2,7,8,10,9,5,2
"51",3,1,5,2,4,0,0,2,1,0,10,9,2,7,6,NA,NA
"52",3,2,4,2,4,0,0,2,1,0,4,10,8,2,5,NA,NA
"53",3,3,5,1,2,2,1,2,0,0,5,9,5,NA,NA,NA,NA
"54",3,4,4,2,2,0,0,2,1,0,4,5,9,NA,NA,NA,NA
"55",3,5,5,2,2,0,0,2,1,0,10,8,6,NA,NA,NA,NA
"56",3,6,1,1,6,3,4,2,0,0,1,9,8,1,10,6,7
"57",3,7,5,2,6,0,0,2,1,0,9,8,6,10,2,7,5
"58",3,8,2,1,6,6,1,2,0,0,2,8,9,7,6,10,2
"59",3,9,5,2,6,0,0,2,1,0,8,7,10,6,9,2,5
"60",3,10,4,2,2,0,0,2,1,0,4,10,7,NA,NA,NA,NA
"61",3,11,4,2,6,0,0,2,1,0,4,10,9,8,5,6,2
"62",3,12,2,1,6,5,2,2,0,0,2,5,7,10,9,2,8
"63",3,13,4,2,6,0,0,2,1,0,4,6,5,7,10,9,2
"64",3,14,2,1,4,1,4,2,0,0,2,2,6,8,7,NA,NA
"65",3,15,5,2,2,0,0,2,1,0,7,10,5,NA,NA,NA,NA
"66",3,16,4,2,6,0,0,2,1,0,4,10,2,7,6,9,8
"67",3,17,4,2,4,0,0,2,1,0,4,5,9,2,10,NA,NA
"68",3,18,5,1,2,2,1,2,0,0,9,10,9,NA,NA,NA,NA
"69",3,19,5,2,4,0,0,2,1,0,6,2,8,9,7,NA,NA
"70",3,20,3,2,6,0,0,2,1,0,3,7,10,8,9,5,2
"71",3,21,3,2,6,0,0,2,1,0,3,1,6,5,7,9,8
"72",3,22,3,2,6,0,0,2,1,0,3,6,7,2,9,10,5
"73",3,23,2,1,2,2,1,2,0,0,2,10,2,NA,NA,NA,NA
"74",3,24,5,2,4,0,0,2,1,0,8,5,6,9,7,NA,NA
"75",3,25,2,1,4,3,2,2,0,0,2,9,8,2,10,NA,NA
"76",4,1,2,1,2,1,2,2,0,0,2,2,8,NA,NA,NA,NA
"77",4,2,2,1,6,5,2,2,0,0,2,5,10,6,7,2,9
"78",4,3,2,1,2,2,1,2,0,0,2,7,2,NA,NA,NA,NA
"79",4,4,5,2,2,0,0,2,1,0,10,1,9,NA,NA,NA,NA
"80",4,5,3,2,6,0,0,2,1,0,3,10,8,2,9,5,6
"81",4,6,1,1,6,5,2,2,0,0,1,10,6,9,8,1,7
"82",4,7,1,1,2,2,1,2,0,0,1,5,1,NA,NA,NA,NA
"83",4,8,2,1,6,3,4,2,0,0,2,6,10,2,8,5,9
"84",4,9,2,1,6,6,1,2,0,0,2,7,8,10,9,6,2
"85",4,10,5,1,2,1,2,2,0,0,10,10,9,NA,NA,NA,NA
"86",4,11,2,1,4,3,2,2,0,0,2,6,10,2,8,NA,NA
"87",4,12,5,2,4,0,0,2,1,0,7,8,10,2,5,NA,NA
"88",4,13,5,2,2,0,0,2,1,0,5,9,8,NA,NA,NA,NA
"89",4,14,4,2,6,0,0,2,1,0,4,8,7,5,6,2,9
"90",4,15,5,1,2,1,2,2,0,0,10,10,8,NA,NA,NA,NA
"91",4,16,2,1,2,1,2,2,0,0,2,2,6,NA,NA,NA,NA
"92",4,17,2,1,6,2,5,2,0,0,2,7,2,10,6,5,9
"93",4,18,2,1,6,5,2,2,0,0,2,6,7,5,10,2,8
"94",4,19,1,1,4,3,2,2,0,0,1,6,7,1,5,NA,NA
"95",4,20,2,1,6,6,1,2,0,0,2,10,7,8,5,9,2
"96",4,21,2,1,6,1,6,2,0,0,2,2,6,9,10,5,8
"97",4,22,3,2,6,0,0,2,1,0,3,2,7,9,8,5,6
"98",4,23,5,2,2,0,0,2,1,0,8,6,10,NA,NA,NA,NA
"99",4,24,5,2,4,0,0,2,1,0,6,5,2,10,7,NA,NA
"100",4,25,5,2,2,0,0,2,1,0,10,9,7,NA,NA,NA,NA
"101",5,1,3,2,6,0,0,2,1,0,3,7,10,2,9,5,8
"102",5,2,2,1,6,3,4,2,0,0,2,6,7,2,10,9,5
"103",5,3,5,2,4,0,0,2,1,0,7,2,9,10,5,NA,NA
"104",5,4,5,1,2,1,2,2,0,0,5,5,6,NA,NA,NA,NA
"105",5,5,2,1,2,1,2,2,0,0,2,2,7,NA,NA,NA,NA
"106",5,6,1,1,6,3,4,2,0,0,1,9,7,1,6,5,10
"107",5,7,5,2,6,0,0,2,1,0,10,5,9,7,8,2,6
"108",5,8,5,2,2,0,0,2,1,0,8,2,7,NA,NA,NA,NA
"109",5,9,2,1,6,4,3,2,0,0,2,5,10,8,2,6,9
"110",5,10,1,1,6,5,2,2,0,0,1,5,9,10,8,1,7
