"","Subnum","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6","surveyq"
"1",1,1,1,"1","1","6",4,3,1,1,2255,1,7,10,6,1,8,5,NA
"2",1,1,3,"5","1","4",3,2,1,1,545,6,7,2,6,10,0,0,NA
"3",1,1,4,"5","1","2",1,2,1,1,1584,6,6,2,0,0,0,0,NA
"4",1,1,5,"3","2","4",0,0,2,1,824,3,2,9,5,10,0,0,NA
"5",1,1,6,"5","2","6",0,0,1,0,966,10,9,2,6,7,5,8,NA
"6",1,1,7,"3","2","6",0,0,2,1,782,3,5,2,8,9,10,6,NA
"7",1,1,8,"5","1","4",2,3,1,1,920,9,6,9,2,7,0,0,NA
"8",1,1,9,"1","1","4",2,3,1,1,780,1,6,1,8,5,0,0,NA
"9",1,1,10,"5","1","6",1,6,1,1,924,5,5,7,10,2,8,9,NA
"10",1,1,11,"3","2","4",0,0,2,1,784,3,8,2,7,9,0,0,NA
"11",1,1,12,"2","1","4",1,4,1,1,794,2,2,8,7,9,0,0,NA
"12",1,1,13,"5","1","6",3,4,1,1,665,10,8,9,10,7,2,6,NA
"13",1,1,14,"5","1","2",2,1,2,0,642,9,8,9,0,0,0,0,NA
"14",1,1,15,"1","1","4",1,4,1,1,754,1,1,9,8,7,0,0,NA
"15",1,1,16,"5","2","6",0,0,1,0,787,10,8,6,7,5,9,2,NA
"16",1,1,17,"5","2","4",0,0,2,1,1085,6,1,10,9,5,0,0,NA
"17",1,1,18,"4","2","2",0,0,2,1,805,4,5,7,0,0,0,0,NA
"18",1,1,19,"5","1","2",1,2,1,1,840,7,7,2,0,0,0,0,NA
"19",1,1,20,"5","1","6",6,1,1,1,678,5,10,2,6,9,8,5,NA
"20",1,1,21,"1","1","6",6,1,1,1,586,1,5,9,8,6,7,1,NA
"21",1,1,22,"5","2","2",0,0,2,1,1558,9,5,6,0,0,0,0,NA
"22",1,1,23,"5","1","4",2,3,1,1,1393,10,5,10,2,8,0,0,NA
"23",1,1,24,"4","2","6",0,0,2,1,760,4,8,9,2,5,6,10,NA
"24",1,1,25,"5","2","6",0,0,1,0,1289,6,7,10,8,9,2,5,NA
"25",1,2,1,"5","2","6",0,0,1,0,1249,7,2,6,9,8,5,10,NA
"26",1,2,2,"5","1","2",2,1,1,1,707,10,7,10,0,0,0,0,NA
"27",1,2,3,"5","1","6",3,4,1,1,805,9,8,2,9,5,10,6,NA
"28",1,2,4,"5","2","2",0,0,2,1,714,5,6,1,0,0,0,0,NA
"29",1,2,5,"5","2","2",0,0,1,0,465,10,8,6,0,0,0,0,NA
"30",1,2,6,"3","2","6",0,0,2,1,812,3,6,2,8,10,7,9,NA
"31",1,2,7,"5","2","2",0,0,1,0,560,5,9,10,0,0,0,0,NA
"32",1,2,8,"2","1","2",2,1,1,1,783,2,7,2,0,0,0,0,NA
"33",1,2,9,"5","1","2",2,1,1,1,771,6,7,6,0,0,0,0,NA
"34",1,2,10,"2","1","4",2,3,1,1,1037,2,8,2,10,7,0,0,NA
"35",1,2,11,"4","2","4",0,0,2,1,573,4,2,5,6,10,0,0,NA
